"Opcodes";"Fields";"Description"
"FLsetsnap";"inumsnap, inumval [FLsetsnap] index [, ifn]";"the current status of all FLTK valuators into a snapshot location."
"FLsetText";"[FLsetText] "itext", ihandle";"the label of a FLTK widget."
"FLsetTextColor";"[FLsetTextColor] ired, iblue, igreen, ihandle";"the color of the text label of a FLTK widget."
"FLsetTextSize";"[FLsetTextSize] isize, ihandle";"the size of the text label of a FLTK widget."
"FLsetTextType";"[FLsetTextType] itype, ihandle";"some font attributes of the text label of a FLTK widget."
"FLsetVal";"[FLsetVal] ktrig, kvalue, ihandle";"the value of a FLTK valuator at control-rate."
"FLsetVal_i";"[FLsetVal_i] ivalue, ihandle";"the value of a FLTK valuator to a number provided by the user."
"FLsetVali";"(Syntax not available)";"(Description not available)"
"FLshow";"[FLshow] ihandle";"the visibility of a previously hidden FLTK widget."
"FLslidBnk";"[FLslidBnk] "names", inumsliders [, ioutable] [, iwidth] [, iheight] [, ix] [, iy] [, itypetable] [, iexptable] [, istart_index] [, iminmaxtable]";"FLTK widget containing a bank of horizontal sliders."
"FLslider";"kout, ihandle [FLslider] "label", imin, imax, iexp, itype, idisp, iwidth, iheight, ix, iy";"a slider into the corresponding FLTK container."
"FLtabs";"[FLtabs] iwidth, iheight, ix, iy";"a tabbed FLTK interface."
"FLtabs_end";"(Syntax not available)";"the end of a tabbed FLTK interface."
"FLtabsEnd";"[FLtabsEnd]";"the end of a tabbed FLTK interface."
"FLtext";"kout, ihandle [FLtext] "label", imin, imax, istep, itype, iwidth, iheight, ix, iy";"FLTK widget opcode that creates a textbox."
"FLtextSize";"(Syntax not available)";"(Description not available)"
"fluidAllOut";"aleft, aright [fluidAllOut]";"all audio from all Fluidsynth engines in a performance"
"fluidCCi";"[fluidCCi] iEngineNumber, iChannelNumber, iControllerNumber, iValue";"a MIDI controller data message to fluid."
"fluidCCk";"[fluidCCk] iEngineNumber, iChannelNumber, iControllerNumber, kValue";"a MIDI controller data message to fluid."
"fluidControl";"[fluidControl] ienginenum, kstatus, kchannel, kdata1, kdata2";"MIDI note on, note off, and other messages to a SoundFont preset."
"fluidEngine";"ienginenum [fluidEngine]";"a fluidsynth engine."
"fluidLoad";"isfnum [fluidLoad] soundfont, ienginenum[, ilistpresets]";"Loads a SoundFont into a fluidEngine, optionally listing SoundFont contents."
"fluidNote";"[fluidNote] ienginenum, ichannelnum, imidikey, imidivel";"a note on a channel in a fluidSynth engine."
"fluidOut";"aleft, aright [fluidOut] ienginenum";"sound from a given fluidEngine"
"fluidProgramSelect";"[fluidProgramSelect] ienginenum, ichannelnum, isfnum, ibanknum, ipresetnum";"a preset from a SoundFont to a channel on a fluidEngine."
"FLupdate";"[FLupdate]";"as the FLrun opcode."
"FLvalue";"ihandle [FLvalue] "label", iwidth, iheight, ix, iy";"the current value of a FLTK valuator."
"FLvkeybd";"[FLvkeybd] "keyboard.map", iwidth, iheight, ix, iy";"FLTK widget opcode that creates a virtual keyboard widget."
"fmb3";"ares [fmb3] kamp, kfreq, kc1, kc2, kvdepth, kvrate, ifn1, ifn2, ifn3, ifn4, ivfn";"FM synthesis to create a Hammond B3 organ sound."
"fmbell";"ares [fmbell] kamp, kfreq, kc1, kc2, kvdepth, kvrate, ifn1, ifn2, ifn3, ifn4, ivfn";"FM synthesis to create a tublar bell sound."
"fmmetal";"ares [fmmetal] kamp, kfreq, kc1, kc2, kvdepth, kvrate, ifn1, ifn2, ifn3, ifn4, ivfn";"FM synthesis to create a"
"fmpercfl";"ares [fmpercfl] kamp, kfreq, kc1, kc2, kvdepth, kvrate, ifn1, ifn2, ifn3, ifn4, ivfn";"FM synthesis to create a percussive flute sound."
"fmrhode";"ares [fmrhode] kamp, kfreq, kc1, kc2, kvdepth, kvrate, ifn1, ifn2, ifn3, ifn4, ivfn";"FM synthesis to create a Fender Rhodes electric piano sound."
"fmvoice";"ares [fmvoice] kamp, kfreq, kvowel, ktilt, kvibamt, kvibrate, ifn1, ifn2, ifn3, ifn4, ivibfn";"Singing Voice Synthesis"
"fmwurlie";"ares [fmwurlie] kamp, kfreq, kc1, kc2, kvdepth, kvrate, ifn1, ifn2, ifn3, ifn4, ivfn";"FM synthesis to create a Wurlitzer electric piano sound."
"fof";"ares [fof] xamp, xfund, xform, koct, kband, kris, kdur, kdec, iolaps, ifna, ifnb, itotdur [, iphs] [, ifmode] [, iskip]";"sinusoid bursts useful for formant and granular synthesis."
"fof2";"ares [fof2] xamp, xfund, xform, koct, kband, kris, kdur, kdec, iolaps, ifna, ifnb, itotdur, kphs, kgliss [, iskip]";"sinusoid bursts including k-rate incremental indexing with each successive burst."
"fof3";"(Syntax not available)";"(Description not available)"
"fofilter";"asig [fofilter] ain, kcf, kris, kdec[, istor]";"filter."
"fog";"ares [fog] xamp, xdens, xtrans, aspd, koct, kband, kris, kdur, kdec, iolaps, ifna, ifnb, itotdur [, iphs] [, itmode] [, iskip]";"output is a succession of grains derived from data in a stored function table"
"fold";"ares [fold] asig, kincr";"artificial foldover to an audio signal."
"follow";"ares [follow] asig, idt";"follower unit generator."
"follow2";"ares [follow2] asig, katt, krel";"controllable envelope extractor."
"foscil";"ares [foscil] xamp, kcps, xcar, xmod, kndx, ifn [, iphs]";"basic frequency modulated oscillator."
"foscili";"ares [foscili] xamp, kcps, xcar, xmod, kndx, ifn [, iphs]";"frequency modulated oscillator with linear interpolation."
"foscili2";"(Syntax not available)";"(Description not available)"
"fout";"[fout] ifilename, iformat, aout1 [, aout2, aout3,...,aoutN]";"a-rate signals to an arbitrary number of channels."
"fouti";"[fouti] ihandle, iformat, iflag, iout1 [, iout2, iout3,....,ioutN]";"i-rate signals of an arbitrary number of channels to a specified file."
"foutir";"[foutir] ihandle, iformat, iflag, iout1 [, iout2, iout3,....,ioutN]";"i-rate signals from an arbitrary number of channels to a specified file."
"foutk";"[foutk] ifilename, iformat, kout1 [, kout2, kout3,....,koutN]";"k-rate signals of an arbitrary number of channels to a specified file, in raw (headerless) format."
"fprintks";"[fprintks] "filename", "string", [, kval1] [, kval2] [...]";"to printks but prints to a file."
"fprints";"[fprints] "filename", "string" [, ival1] [, ival2] [...]";"to prints but prints to a file."
"frac";"[frac](x) (init-rate or control-rate args; also works at audio rate in Csound5)";"the fractional part of a decimal number."
"freeverb";"aoutL, aoutR [freeverb] ainL, ainR, kRoomSize, kHFDamp[, iSRate[, iSkip]]";"version of Jezar's Freeverb"
"ftchnls";"[ftchnls](x) (init-rate args only)";"the number of channels in a stored function table."
"ftconv";"a1[, a2[, a3[, ... a8]]] [ftconv] ain, ift, iplen[, iskipsamples [, iirlen[, iskipinit]]]";"latency multichannel convolution, using a function table as impulseresponse source."
"ftfree";"[ftfree] ifno, iwhen";"function table."
"ftgen";"gir [ftgen] ifn, itime, isize, igen, iarga [, iargb ] [...]";"a score function table from within the orchestra."
"ftgentmp";"ifno [ftgentmp] ip1, ip2dummy, isize, igen, iarga, iargb, ...";"Generate a score function table from within the orchestra,which is deleted at the end of the note."
"ftlen";"[ftlen](x) (init-rate args only)";"the size of a stored function table."
"ftlen2";"(Syntax not available)";"(Description not available)"
"ftload";"[ftload] "filename", iflag, ifn1 [, ifn2] [...]";"a set of previously-allocated tables from a file."
"ftloadk";"[ftloadk] "filename", ktrig, iflag, ifn1 [, ifn2] [...]";"a set of previously-allocated tables from a file."
"ftlptim";"[ftlptim](x) (init-rate args only)";"the loop segment start-time of a stored function table number."
"ftmorf";"[ftmorf] kftndx, iftfn, iresfn";"Morphs between multiple ftables as specified in a list."
"ftsave";"[ftsave] "filename", iflag, ifn1 [, ifn2] [...]";"a set of previously-allocated tables to a file."
"ftsavek";"[ftsavek] "filename", ktrig, iflag, ifn1 [, ifn2] [...]";"a set of previously-allocated tables to a file."
"ftsr";"[ftsr](x) (init-rate args only)";"the sampling-rate of a stored function table."
"g";"(Syntax not available)";"(Description not available)"
"gain";"ares [gain] asig, krms [, ihp] [, iskip]";"the amplitude audio signal according to a root-mean-square value."
"gainslider";"kout [scale] kindex";"implementation of a logarithmic gain curve which is similar to the gainslider~ object from Cycling 74 Max / MSP."
"gauss";"ares [gauss] krange";"distribution random number generator."
"gbuzz";"ares [gbuzz] xamp, xcps, knh, klh, kmul, ifn [, iphs]";"is a set of harmonically related cosine partials."
"getcfg";"Svalue [getcfg] iopt";"Csound settings."
"GL3dStudioModel";"(Syntax not available)";"(Description not available)"
"GLabs";"(Syntax not available)";"(Description not available)"
"GLacos";"(Syntax not available)";"(Description not available)"
"glArrayElement";"(Syntax not available)";"(Description not available)"
"GLasin";"(Syntax not available)";"(Description not available)"
"GLatan";"(Syntax not available)";"(Description not available)"
"glBegin";"(Syntax not available)";"(Description not available)"
"glBindTexture";"(Syntax not available)";"(Description not available)"
"GLbirnd";"(Syntax not available)";"(Description not available)"
"glBlendFunc";"(Syntax not available)";"(Description not available)"
"glCallList";"(Syntax not available)";"(Description not available)"
"glClear";"(Syntax not available)";"(Description not available)"
"glClearColor";"(Syntax not available)";"(Description not available)"
"GLclearwhen";"(Syntax not available)";"(Description not available)"
"glClipPlane";"(Syntax not available)";"(Description not available)"
"glColor";"(Syntax not available)";"(Description not available)"
"glColor3";"(Syntax not available)";"(Description not available)"
"glColorPointer";"(Syntax not available)";"(Description not available)"
"GLcos";"(Syntax not available)";"(Description not available)"
"GLcosh";"(Syntax not available)";"(Description not available)"
"glCullFace";"(Syntax not available)";"(Description not available)"
"glDisable";"(Syntax not available)";"(Description not available)"
"glDisableClientState";"(Syntax not available)";"(Description not available)"
"GLdiv";"(Syntax not available)";"(Description not available)"
"glDrawArrays";"(Syntax not available)";"(Description not available)"
"glDrawBuffer";"(Syntax not available)";"(Description not available)"
"glDrawElements";"(Syntax not available)";"(Description not available)"
"glEdgeFlagPointer";"(Syntax not available)";"(Description not available)"
"GLelse";"(Syntax not available)";"(Description not available)"
"glEnable";"(Syntax not available)";"(Description not available)"
"glEnableClientState";"(Syntax not available)";"(Description not available)"
"glEnd";"(Syntax not available)";"(Description not available)"
"GLend_for";"(Syntax not available)";"(Description not available)"
"GLend_if";"(Syntax not available)";"(Description not available)"
"glEndList";"(Syntax not available)";"(Description not available)"
"glEvalCoord1";"(Syntax not available)";"(Description not available)"
"glEvalCoord2";"(Syntax not available)";"(Description not available)"
"glEvalMesh1";"(Syntax not available)";"(Description not available)"
"glEvalMesh2";"(Syntax not available)";"(Description not available)"
"GLexp";"(Syntax not available)";"(Description not available)"
"GLfont3d";"(Syntax not available)";"(Description not available)"
"GLfor";"(Syntax not available)";"(Description not available)"
"GLfps";"(Syntax not available)";"(Description not available)"
"GLfrac";"(Syntax not available)";"(Description not available)"
"glFrontFace";"(Syntax not available)";"(Description not available)"
"glFrustum";"(Syntax not available)";"(Description not available)"
"GLfullscreen";"(Syntax not available)";"(Description not available)"
"glHint";"(Syntax not available)";"(Description not available)"
"GLif";"(Syntax not available)";"(Description not available)"
"glIndexPointer";"(Syntax not available)";"(Description not available)"
"GLinsert";"(Syntax not available)";"(Description not available)"
"GLinsert_i";"(Syntax not available)";"(Description not available)"
"GLint";"(Syntax not available)";"(Description not available)"
"glLight";"(Syntax not available)";"(Description not available)"
"glLightModel";"(Syntax not available)";"(Description not available)"
"glLightModelv";"(Syntax not available)";"(Description not available)"
"glLightv";"(Syntax not available)";"(Description not available)"
"glLineWidth";"(Syntax not available)";"(Description not available)"
"glLoadIdentity";"(Syntax not available)";"(Description not available)"
"glLoadMatrix";"(Syntax not available)";"(Description not available)"
"glLoadMatrixv";"(Syntax not available)";"(Description not available)"
"GLloadPicasso";"(Syntax not available)";"(Description not available)"
"GLloadTexture";"(Syntax not available)";"(Description not available)"
"GLlog";"(Syntax not available)";"(Description not available)"
"GLlog10";"(Syntax not available)";"(Description not available)"
"glMap1";"(Syntax not available)";"(Description not available)"
"glMap2";"(Syntax not available)";"(Description not available)"
"glMapGrid1";"(Syntax not available)";"(Description not available)"
"glMapGrid2";"(Syntax not available)";"(Description not available)"
"glMaterial";"(Syntax not available)";"(Description not available)"
"glMatrixMode";"(Syntax not available)";"(Description not available)"
"GLmetro";"(Syntax not available)";"(Description not available)"
"GLmod";"(Syntax not available)";"(Description not available)"
"GLmul";"(Syntax not available)";"(Description not available)"
"glMultMatrix";"(Syntax not available)";"(Description not available)"
"glMultMatrixv";"(Syntax not available)";"(Description not available)"
"glNewList";"(Syntax not available)";"(Description not available)"
"glNormal3";"(Syntax not available)";"(Description not available)"
"glNormalPointer";"(Syntax not available)";"(Description not available)"
"GLopenVideoFile";"(Syntax not available)";"(Description not available)"
"glOrtho";"(Syntax not available)";"(Description not available)"
"GLoscil";"(Syntax not available)";"(Description not available)"
"GLoscili";"(Syntax not available)";"(Description not available)"
"GLpanel";"(Syntax not available)";"(Description not available)"
"GLpanel_end";"(Syntax not available)";"(Description not available)"
"GLphasor";"(Syntax not available)";"(Description not available)"
"glPixelMap";"(Syntax not available)";"(Description not available)"
"glPixelTransfer";"(Syntax not available)";"(Description not available)"
"glPopMatrix";"(Syntax not available)";"(Description not available)"
"glPushMatrix";"(Syntax not available)";"(Description not available)"
"GLratio";"(Syntax not available)";"(Description not available)"
"GLredraw";"(Syntax not available)";"(Description not available)"
"GLrender3dStudioModel";"(Syntax not available)";"(Description not available)"
"GLrenderPicasso";"(Syntax not available)";"(Description not available)"
"GLrnd";"(Syntax not available)";"(Description not available)"
"glRotate";"(Syntax not available)";"(Description not available)"
"glScale";"(Syntax not available)";"(Description not available)"
"glShadeModel";"(Syntax not available)";"(Description not available)"
"GLshininess";"(Syntax not available)";"(Description not available)"
"GLsin";"(Syntax not available)";"(Description not available)"
"GLsinh";"(Syntax not available)";"(Description not available)"
"GLsqr";"(Syntax not available)";"(Description not available)"
"GLsub";"(Syntax not available)";"(Description not available)"
"GLsum";"(Syntax not available)";"(Description not available)"
"GLtab";"(Syntax not available)";"(Description not available)"
"GLtabw";"(Syntax not available)";"(Description not available)"
"GLtan";"(Syntax not available)";"(Description not available)"
"GLtanh";"(Syntax not available)";"(Description not available)"
"GLtexCircle";"(Syntax not available)";"(Description not available)"
"glTexCoord2";"(Syntax not available)";"(Description not available)"
"glTexCoordPointer";"(Syntax not available)";"(Description not available)"
"GLtexCube";"(Syntax not available)";"(Description not available)"
"glTexEnvfv";"(Syntax not available)";"(Description not available)"
"glTexEnvi";"(Syntax not available)";"(Description not available)"
"glTexGenfv";"(Syntax not available)";"(Description not available)"
"glTexGeni";"(Syntax not available)";"(Description not available)"
"GLtexSquare";"(Syntax not available)";"(Description not available)"
"GLtext3d";"(Syntax not available)";"(Description not available)"
"glTranslate";"(Syntax not available)";"(Description not available)"
"gluBeginCurve";"(Syntax not available)";"(Description not available)"
"gluBeginSurface";"(Syntax not available)";"(Description not available)"
"gluBeginTrim";"(Syntax not available)";"(Description not available)"
"gluCylinder";"(Syntax not available)";"(Description not available)"
"gluDisk";"(Syntax not available)";"(Description not available)"
"gluEndCurve";"(Syntax not available)";"(Description not available)"
"gluEndSurface";"(Syntax not available)";"(Description not available)"
"gluEndTrim";"(Syntax not available)";"(Description not available)"
"gluLookAt";"(Syntax not available)";"(Description not available)"
"gluNewNurbsRenderer";"(Syntax not available)";"(Description not available)"
"gluNewQuadric";"(Syntax not available)";"(Description not available)"
"gluNurbsCurve";"(Syntax not available)";"(Description not available)"
"gluNurbsProperty";"(Syntax not available)";"(Description not available)"
"gluNurbsSurface";"(Syntax not available)";"(Description not available)"
"gluPerspective";"(Syntax not available)";"(Description not available)"
"gluPwlCurve";"(Syntax not available)";"(Description not available)"
"gluQuadricDrawStyle";"(Syntax not available)";"(Description not available)"
"gluQuadricNormals";"(Syntax not available)";"(Description not available)"
"gluQuadricTexture";"(Syntax not available)";"(Description not available)"
"gluSphere";"(Syntax not available)";"(Description not available)"
"glutCube";"(Syntax not available)";"(Description not available)"
"glutDodecahedron";"(Syntax not available)";"(Description not available)"
"gluTessBeginContour";"(Syntax not available)";"(Description not available)"
"gluTessBeginPolygon";"(Syntax not available)";"(Description not available)"
"gluTessEndContour";"(Syntax not available)";"(Description not available)"
"gluTessEndPolygon";"(Syntax not available)";"(Description not available)"
"gluTessVertex";"(Syntax not available)";"(Description not available)"
"gluTessVertexv";"(Syntax not available)";"(Description not available)"
"glutIcosahedron";"(Syntax not available)";"(Description not available)"
"glutOctahedron";"(Syntax not available)";"(Description not available)"
"glutSphere";"(Syntax not available)";"(Description not available)"
"glutTetrahedron";"(Syntax not available)";"(Description not available)"
"glutTorus";"(Syntax not available)";"(Description not available)"
"GLvadd";"(Syntax not available)";"(Description not available)"
"GLvaddv";"(Syntax not available)";"(Description not available)"
"GLvcopy";"(Syntax not available)";"(Description not available)"
"GLvdivv";"(Syntax not available)";"(Description not available)"
"glVertex3";"(Syntax not available)";"(Description not available)"
"glVertexPointer";"(Syntax not available)";"(Description not available)"
"GLvexp";"(Syntax not available)";"(Description not available)"
"GLvexpv";"(Syntax not available)";"(Description not available)"
"GLvideo2tex";"(Syntax not available)";"(Description not available)"
"GLvideoCapture";"(Syntax not available)";"(Description not available)"
"GLvlimit";"(Syntax not available)";"(Description not available)"
"GLvmap";"(Syntax not available)";"(Description not available)"
"GLvmirror";"(Syntax not available)";"(Description not available)"
"GLvmult";"(Syntax not available)";"(Description not available)"
"GLvmultv";"(Syntax not available)";"(Description not available)"
"GLvphaseseg";"(Syntax not available)";"(Description not available)"
"GLvpow";"(Syntax not available)";"(Description not available)"
"GLvpowv";"(Syntax not available)";"(Description not available)"
"GLvsubv";"(Syntax not available)";"(Description not available)"
"GLvtab";"(Syntax not available)";"(Description not available)"
"GLvtabw";"(Syntax not available)";"(Description not available)"
"GLvwrap";"(Syntax not available)";"(Description not available)"
"GLwaitInitStage";"(Syntax not available)";"(Description not available)"
"GLwavefrontModel";"(Syntax not available)";"(Description not available)"
"gogobel";"ares [gogobel] kamp, kfreq, ihrd, ipos, imp, kvibf, kvamp, ivfn";"output is a tone related to the striking of a cow bell or similar."
"goto";"[goto] label";"control on every pass."
"grain";"ares [grain] xamp, xpitch, xdens, kampoff, kpitchoff, kgdur, igfn, iwfn, imgdur [, igrnd]";"granular synthesis textures."
"grain2";"ares [grain2] kcps, kfmd, kgdur, iovrlp, kfn, iwfn [, irpow] [, iseed] [, imode]";"granular synthesis texture generator."
"grain3";"ares [grain3] kcps, kphs, kfmd, kpmd, kgdur, kdens, imaxovr, kfn, iwfn, kfrpow, kprpow [, iseed] [, imode]";"granular synthesis textures with more user control."
"granule";"ares [granule] xamp, ivoice, iratio, imode, ithd, ifn, ipshift, igskip, igskip_os, ilength, kgap, igap_os, kgsize, igsize_os, iatt, idec [, iseed] [, ipitch1] [, ipitch2] [, ipitch3] [, ipitch4] [, ifnenv]";"more complex granular synthesis texture generator."
"guiro";"ares [guiro] kamp, idettack [, inum] [, idamp] [, imaxshake] [, ifreq] [, ifreq1]";"model of a guiro sound."
"harmon";"ares [harmon] asig, kestfrq, kmaxvar, kgenfreq1, kgenfreq2, imode, iminfrq, iprd";"an audio input and generate harmonizing voices in synchrony."
"harmon2";"ares [harmon2] asig, koct, kfrq1, kfrq2, icpsmode, ilowest[, ipolarity]";"an audio input and generate harmonizing voices insynchrony with formants preserved."
"harmon3";"(Syntax not available)";"(Description not available)"
"harmon4";"(Syntax not available)";"(Description not available)"
"hilbert";"ar1, ar2 [hilbert] asig";"Hilbert transformer."
"hrtfer";"aleft, aright [hrtfer]";"3D audio for two speakers."
"hsboscil";"ares [hsboscil] kamp, ktone, kbrite, ibasfreq, iwfn, ioctfn[, ioctcnt] [, iphs]";"oscillator which takes tonality and brightness as arguments."
"i";"[i]p1p2p3p4...";"an instrument active at a specific time and for a certain duration."
"iampmidid";"(Syntax not available)";"(Description not available)"
"if";"[if] label";"conditionally at initialization or during performance time."
"igoto";"[igoto] label";"control during the i-time pass."
"ihold";"[ihold]";"a held note."
"img2GLtex";"(Syntax not available)";"(Description not available)"
"imgConvolve";"(Syntax not available)";"(Description not available)"
"imgCreate";"(Syntax not available)";"(Description not available)"
"imgGain";"(Syntax not available)";"(Description not available)"
"imgPoint";"(Syntax not available)";"(Description not available)"
"in";"ar1 [in]";"mono audio data from an external device or stream."
"in32";"ar1, ar2, ar3, ar4, ar5, ar6, ar7, ar8, ar9, ar10, ar11, ar12, ar13, ar14, ar15, ar16, ar17, ar18, ar19, ar20, ar21, ar22, ar23, ar24, ar25, ar26, ar27, ar28, ar29, ar30, ar31, ar32 [in32]";"a 32-channel audio signal from an external device or stream."
"inch";"ar1 [inch] ksig1";"from a numbered channel in an external audio signal or stream."
"inh";"ar1, ar2, ar3, ar4, ar5, ar6 [inh]";"six-channel audio data from an external device or stream."
"init";"ares [init] iarg";"Puts the value of the i-time expression into a k- or a-rate variable."
"Init3dAudio";"(Syntax not available)";"(Description not available)"
"initc14";"[initc14] ichan, ictlno1, ictlno2, ivalue";"the controllers used to create a 14-bit MIDI value."
"initc21";"[initc21] ichan, ictlno1, ictlno2, ictlno3, ivalue";"the controllers used to create a 21-bit MIDI value."
"initc7";"[initc7] ichan, ictlno, ivalue";"the controller used to create a 7-bit MIDI value."
"InitEAX";"(Syntax not available)";"(Description not available)"
"ino";"ar1, ar2, ar3, ar4, ar5, ar6, ar7, ar8 [ino]";"eight-channel audio data from an external device or stream."
"inq";"ar1, ar2,ar3, a4 [inq]";"quad audio data from an external device or stream."
"ins";"ar1, ar2 [ins]";"stereo audio data from an external device or stream."
"insglobal";"[insglobal]isource, instrnum [,instrnum...]";"opcode which can be used to implement a remote orchestra. This opcode will send note events from a source machine to many destinations."
"insremot";"[insremot]idestination, isource, instrnum [,instrnum...]";"opcode which can be used to implement a remote orchestra. This opcode will send note events from a source machine to one destination."
"instr";"[instr] i, j, ...";"an instrument block."
"int";"[int](x)(init-rate or control-rate; also works at audio rate in Csound5)";"an integer from a decimal number."
"integ";"ares [integ] asig [, iskip]";"a signal by integration."
"interp";"ares [interp] ksig [, iskip] [, imode]";"a control signal to an audio signal using linear interpolation."
"invalue";"kvalue [invalue] "channel name"";"a k-rate signal from a user-defined channel."
"inx";"ar1, ar2, ar3, ar4, ar5, ar6, ar7, ar8, ar9, ar10, ar11, ar12, ar13, ar14, ar15, ar16 [inx]";"a 16-channel audio signal from an external device or stream."
"inz";"[inz] ksig1";"multi-channel audio samples into a ZAK array from an external device or stream."
"jitter";"kout [jitter] kamp, kcpsMin, kcpsMax";"a segmented line whose segments are randomly generated."
"jitter2";"kout [jitter2] ktotamp, kamp1, kcps1, kamp2, kcps2, kamp3, kcps3";"a segmented line with user-controllable random segments."
"jspline";"ares [jspline] xamp, kcpsMin, kcpsMax";"jitter-spline generator."
"k";"(Syntax not available)";"(Description not available)"
"kampmidid";"(Syntax not available)";"(Description not available)"
"kgoto";"[kgoto] label";"control during the p-time passes."
"kr";"[kr] = iarg";"the control rate."
"ksmps";"[ksmps] = iarg";"the number of samples in a control period."
"ktableseg";"[ktableseg] ifn1, idur1, ifn2 [, idur2] [, ifn3] [...]";"as the tableseg opcode."
"lfo";"kres [lfo] kamp, kcps [, itype]";"low frequency oscillator of various shapes."
"limit";"ares [limit] asig, klow, khigh";"the lower and upper limits of the value it processes."
"line";"ares [line] ia, idur1, ib";"a straight line between specified points."
"linen";"ares [linen] xamp, irise, idur, idec";"a straight line rise and decay pattern to an input amp signal."
"linenr";"ares [linenr] xamp, irise, idec, iatdec";"linen opcode extended with a final release segment."
"lineto";"kres [lineto] ksig, ktime";"glissandos starting from a control signal."
"linrand";"ares [linrand] krange";"distribution random number generator (positive values only)."
"linseg";"ares [linseg] ia, idur1, ib [, idur2] [, ic] [...]";"a series of line segments between specified points."
"linsegr";"ares [linsegr] ia, idur1, ib [, idur2] [, ic] [...], irel, iz";"a series of line segments between specified points including a release segment."
"locsend";"a1, a2 [locsend]";"the audio signals of a previous"
"locsig";"a1, a2 [locsig] asig, kdegree, kdistance, kreverbsend";"and input signal and distributes between 2 or 4 channels."
"log";"[log](x) (no rate restriction)";"a natural log."
"log10";"[log10](x) (no rate restriction)";"a base 10 log."
"logbtwo";"[logbtwo](x)(init-rate or control-rate args only)";"a logarithmic base two calculation."
"logcurve";"kout [logcurve] kindex, ksteepness";"opcode implements a formula for generating a normalised logarithmic curve in range 0 - 1. It is based on the Max / MSP work of Eric Singer (c) 1994."
"loop_ge";"[loop_ge ]indx, idecr, imin, label";"constructions."
"loop_gt";"[loop_gt ]indx, idecr, imin, label";"constructions."
"loop_le";"[loop_le ]indx, incr, imax, label";"constructions."
"loop_lt";"[loop_lt ]indx, incr, imax, label";"constructions."
"loopseg";"ksig [loopseg] kfreq, ktrig, ktime0, kvalue0 [, ktime1] [, kvalue1] [, ktime2] [, kvalue2] [...]";"control signal consisting of linear segments delimited by two or more specified points."
"loopsegp";"ksig [loopsegp]kphase, kvalue0, ktime0, kvalue1, ktime1 [, ... , kvalueN, ktimeN]";"signals based on linear segments."
"lorenz";"ax, ay, az [lorenz] ksv, krv, kbv, kh, ix, iy, iz, iskip [, iskipinit]";"the Lorenz system of equations."
"lorismorph";"[lorismorph] isrcidx, itgtidx, istoreidx, kfreqmorphenv, kampmorphenv, kbwmorphenv";"two stored sets of bandwidth-enhanced partialsand stores a new set of partials representing the morphedsound. The morph is performed by linearly interpolating theparameter envelopes (frequency, amplitude, and bandwidth, ornoisiness) of the bandwidth-enhan"
"lorisplay";"ar [lorisplay] ireadidx, kfreqenv, kampenv, kbwenv";"a stored set of bandwidth-enhanced partials using the method of Bandwidth-Enhanced Additive Synthesis implemented in the Loris software, applying control-rate frequency, amplitude, and bandwidth scaling envelopes."
"lorisread";"[lorisread] ktimpnt, ifilcod, istoreidx, kfreqenv, kampenv, kbwenv[, ifadetime]";"a set of bandwidth-enhanced partials from a SDIF-formatdata file, applying control-rate frequency, amplitude, andbandwidth scaling envelopes, and stores the modified partials inmemory."
"loscil";"ar1 [,ar2] [loscil] xamp, kcps, ifn [, ibas] [, imod1] [, ibeg1] [, iend1] [, imod2] [, ibeg2] [, iend2]";"sampled sound from a table."
"loscil2";"(Syntax not available)";"(Description not available)"
"loscil3";"ar1 [,ar2] [loscil3] xamp, kcps, ifn [, ibas] [, imod1] [, ibeg1] [, iend1] [, imod2] [, ibeg2] [, iend2]";"sampled sound from a table using cubic interpolation."
"loscilx";"ar1 [, ar2, ar3, ar4, ar5, ar6, ar7, ar8, ar9, ar10, ar11, ar12, ar13, ar14, ar15, ar16] [loscilx] xamp, kcps, ifn [, iwsize, ibas, istrt, imod1, ibeg1, iend1]";"oscillator."
"lowpass2";"ares [lowpass2] asig, kcf, kq [, iskip]";"resonant lowpass filter."
"lowres";"ares [lowres] asig, kcutoff, kresonance [, iskip]";"resonant lowpass filter."
"lowresx";"ares [lowresx] asig, kcutoff, kresonance [, inumlayer] [, iskip]";"layers of serially connected resonant lowpass filters."
"lpf18";"ares [lpf18] asig, kfco, kres, kdist";"3-pole sweepable resonant lowpass filter."
"lpfreson";"ares [lpfreson] asig, kfrqratio";"a signal from the data passed internally by a previous lpread, applying formant shifting."
"lphasor";"ares [lphasor] xtrns [, ilps] [, ilpe] [, imode] [, istrt] [, istor]";"a table index for sample playback"
"lpinterp";"[lpinterp] islot1, islot2, kmix";"lpinterpComputes a new set of poles from the interpolation between two analysis."
"lposcil";"ares [lposcil] kamp, kfreqratio, kloop, kend, ifn [, iphs]";"lposcil3Read sampled sound from a table with optional looping and high precision."
"lposcil3";"ares [lposcil3] kamp, kfreqratio, kloop, kend, ifn [, iphs]";"sampled sound from a table with high precision and cubic interpolation."
"lposcint";"(Syntax not available)";"(Description not available)"
"lposcinta";"(Syntax not available)";"(Description not available)"
"lposcintsa";"(Syntax not available)";"(Description not available)"
"lposcintsa2";"(Syntax not available)";"(Description not available)"
